iter	Passed	Remaining
0	60	18116
1	66	9939
2	71	7103
3	75	5589
4	79	4692
5	82	4049
6	85	3593
7	89	3272
8	92	2998
9	95	2783
10	97	2556
11	99	2395
12	102	2263
13	105	2150
14	107	2040
15	109	1950
16	112	1869
17	114	1791
18	116	1724
19	118	1665
20	121	1611
21	123	1561
22	125	1512
23	127	1467
24	129	1425
25	131	1389
26	133	1352
27	136	1322
28	138	1298
29	141	1270
30	143	1245
31	146	1227
32	149	1206
33	152	1189
34	154	1167
35	156	1146
36	157	1120
37	160	1106
38	163	1093
39	166	1080
40	169	1067
41	172	1058
42	175	1047
43	177	1035
44	180	1021
45	183	1012
46	185	999
47	187	986
48	190	974
49	192	962
50	194	950
51	197	940
52	199	930
53	202	924
54	205	914
55	207	905
56	210	895
57	213	889
58	215	881
59	218	874
60	220	864
61	222	854
62	224	845
63	226	834
64	228	826
65	230	818
66	233	811
67	235	802
68	237	795
69	241	794
70	243	786
71	246	779
72	249	775
73	252	770
74	254	764
75	256	757
76	259	751
77	262	746
78	264	741
79	267	735
80	270	730
81	273	725
82	275	720
83	278	715
84	280	710
85	283	704
86	285	698
87	288	694
88	290	689
89	292	683
90	295	678
91	298	675
92	301	670
93	304	666
94	306	661
95	309	657
96	312	653
97	314	648
98	317	644
99	319	639
100	322	635
101	325	632
102	328	628
103	333	628
104	335	623
105	338	619
106	341	615
107	343	611
108	346	607
109	350	604
110	352	600
111	355	596
112	357	592
113	359	587
114	362	582
115	364	578
116	367	575
117	371	573
118	374	569
119	377	565
120	379	561
121	382	558
122	385	554
123	388	551
124	391	548
125	394	545
126	397	541
127	399	537
128	402	533
129	404	528
130	407	525
131	410	521
132	413	518
133	415	514
134	418	511
135	420	507
136	423	503
137	425	499
138	427	495
139	430	492
140	433	489
141	436	485
142	439	482
143	441	478
144	444	475
145	447	472
146	450	468
147	453	465
148	456	462
149	459	459
150	461	455
151	463	451
152	467	448
153	469	445
154	474	443
155	478	441
156	482	439
157	484	435
158	487	432
159	491	429
160	493	426
161	496	423
162	499	420
163	502	416
164	505	413
165	509	411
166	512	408
167	515	404
168	518	402
169	522	399
170	524	395
171	527	392
172	530	389
173	532	385
174	535	382
175	538	379
176	541	376
177	544	373
178	547	369
179	550	366
180	553	363
181	555	360
182	558	356
183	560	353
184	563	350
185	566	347
186	570	344
187	572	341
188	576	338
189	579	335
190	581	331
191	584	328
192	587	325
193	589	322
194	591	318
195	594	315
196	597	312
197	600	309
198	603	306
199	606	303
200	609	300
201	612	297
202	615	294
203	618	290
204	621	288
205	624	285
206	628	282
207	631	279
208	633	275
209	636	272
210	639	269
211	642	266
212	644	263
213	647	260
214	650	257
215	652	253
216	656	251
217	659	248
218	662	245
219	665	242
220	668	239
221	671	235
222	674	233
223	677	229
224	680	226
225	682	223
226	685	220
227	687	217
228	690	214
229	693	211
230	696	207
231	699	204
232	702	201
233	705	198
234	706	195
235	709	192
236	712	189
237	714	186
238	717	183
239	719	179
240	722	176
241	723	173
242	726	170
243	729	167
244	732	164
245	735	161
246	739	158
247	742	155
248	745	152
249	749	149
250	751	146
251	754	143
252	757	140
253	759	137
254	762	134
255	765	131
256	768	128
257	772	125
258	775	122
259	777	119
260	780	116
261	783	113
262	786	110
263	789	107
264	792	104
265	794	101
266	798	98
267	802	95
268	804	92
269	806	89
270	809	86
271	812	83
272	817	80
273	820	77
274	822	74
275	825	71
276	828	68
277	831	65
278	834	62
279	837	59
280	840	56
281	842	53
282	846	50
283	848	47
284	851	44
285	854	41
286	857	38
287	860	35
288	863	32
289	865	29
290	868	26
291	871	23
292	874	20
293	876	17
294	878	14
295	881	11
296	883	8
297	886	5
298	889	2
299	891	0
